ident,elevation_meters,latitude,longitude,iata_code
00UT,1870.8624000000002,37.24777,-112.822981,
00VA,167.94480000000001,36.574964,-78.998437,
00VI,816.864,36.663299560546875,-80.49949645996094,
00W,219.15120000000002,46.672884,-117.441933,
00WA,45.72,47.17839813232422,-122.77200317382812,
00WI,262.128,44.304298400878906,-89.05010223388672,
00WN,883.9200000000001,46.25,-117.2490005493164,
00WV,627.888,38.82889938354492,-79.86609649658203,
00WY,1588.008,42.840361,-106.224443,
00XA,82.6008,30.224,-96.01417,
00XS,947.928,33.033401,-101.933998,
01A,622.0968,62.940833,-152.269722,
01AK,36.576,60.105873975399994,-149.446249008,
01AL,104.8512,32.94599914550781,-86.51390075683594,
01AN,185.928,61.649095,-149.339025,
01AR,134.112,34.047456,-94.354023,
01AZ,1005.84,34.607406,-111.8609,
01C,248.412,43.341701507568,-85.775001525879,
01CA,1137.8184,34.368241,-117.370059,
01CL,790.6512,38.7999,-120.734001,
01CN,91.44,34.0378,-118.153999,
01CO,3101.34,39.24530029296875,-106.24600219726562,
01CT,18.288,41.62730026245117,-72.72750091552734,
01FA,16.764,28.589399337768555,-81.14420318603516,
01FD,26.2128,28.666639,-81.3697,
01FL,5.7912,28.78190040588379,-81.1592025756836,
01GA,97.2312,32.47930145263672,-84.9791030883789,
01GE,114.30000000000001,32.675106,-82.771055,
01IA,220.98000000000002,41.661098,-90.741302,
01ID,1605.6864,42.6082,-112.031998,
01II,289.56,39.8849983215332,-86.50669860839844,
01IL,177.69840000000002,40.45859909057617,-87.65950012207031,
01IN,271.272,40.13090133666992,-85.69580078125,
01IS,204.216,39.01620101928711,-90.31819915771484,
01J,17.9832,30.685568,-81.906346,
01K,352.65360000000004,37.036132,-97.58533,
01KS,452.62800000000004,38.54059982299805,-97.00330352783203,
01KY,127.7112,37.051700592041016,-88.64689636230469,
01LA,27.432000000000002,32.638999938964844,-91.77369689941406,
01LL,169.16400000000002,38.12580108642578,-89.46389770507812,
01LS,38.1,30.722478,-91.077372,
01MA,42.672000000000004,42.625099182128906,-71.18009948730469,
01MD,,38.999199,-76.456001,
01ME,185.3184,46.778900146484375,-68.50029754638672,
01MI,224.33280000000002,43.04949951171875,-83.67970275878906,
01MN,413.9184,47.899600982666016,-92.55740356445312,
01MO,187.452,38.641700744628906,-90.48429870605469,
01MT,957.3768,48.789100646972656,-114.87999725341797,
01MU,875.6904000000001,32.196747,-110.775142,
01NC,19.812,34.47529983520508,-77.5813980102539,
01NE,914.4000000000001,40.843619,-100.651503,
01NH,254.508,43.6445,-72.086998,
01NJ,3.048,40.739956,-74.136128,
01NM,1106.424,33.008611,-104.540278,
01NR,12.192,34.196264,-77.919917,
01NV,1402.0800000000002,38.76390075683594,-119.0270004272461,
01NY,30.48,41.692415,-73.93683,
01OH,236.22,39.497455,-84.313851,
01OI,347.47200000000004,40.730267,-82.802022,
01OK,464.82000000000005,35.294498,-98.636496,
01OL,323.088,34.391667,-96.690833,
01OR,1324.6608,43.119301,-121.044997,
01PA,370.332,40.655602,-80.050903,
01PN,292.608,40.930599212646484,-77.73889923095703,
01PS,316.992,41.59590148925781,-76.02960205078125,
01SC,237.4392,35.032100677490234,-81.25279998779297,
01TA,192.024,32.69419860839844,-97.11579895019531,
01TE,153.924,32.737598,-96.428001,
01TN,112.77600000000001,34.99589920043945,-89.73059844970703,
01TS,205.74,32.7285,-97.324501,
01TT,2.1336,29.012067,-95.402119,
01TX,185.928,32.388115,-96.877398,
01U,1561.7952,38.849785,-115.634987,
01UT,1828.8000000000002,38.30830001831055,-109.39600372314453,
01VA,152.4,39.125,-77.9250030518,
01WA,46.9392,46.66320037841797,-123.81199645996094,
01WI,283.464,44.0099983215332,-90.38919830322266,
01WN,31.3944,48.213401794433594,-122.68499755859375,
01WT,6.096,47.518178,-122.210908,
01WY,1295.4,44.348312,-104.8106,
01XA,217.93200000000002,30.007222,-97.853333,
01XS,152.4,32.020198822021484,-95.74549865722656,
02AA,48.768,61.506147,-149.912825,
02AK,57.912000000000006,61.876907,-150.097626,
02AL,18.5928,30.37150001525879,-87.76439666748047,
02AN,67.6656,59.704223,-151.295869,
02AR,80.4672,34.822445,-92.44442,
02AZ,1280.16,32.376401,-109.936996,
02CA,37.1856,33.58250045776367,-118.12899780273438,
02CD,50.292,34.129600524902344,-90.52400207519531,
02CL,1572.768,34.761101,-119.058998,
02CO,2321.052,37.64329910279999,-106.04699707,
02CT,164.592,41.91960144042969,-72.44450378417969,
02FA,36.8808,28.526699,-81.874802,
02FD,63.7032,30.950976,-86.635555,
02FL,65.532,30.642527,-86.118779,
02GA,269.4432,34.202598571777344,-83.42900085449219,
02GE,216.40800000000002,34.17530059814453,-84.92440032958984,
02HI,2.7432000000000003,21.35839,-157.94789,
